ZCTA5CE20,ESTAB
13860,
13861,10.0
13862,75.0
13863,
13864,4.0
13865,80.0
13901,571.0
13902,51.0
13903,257.0
13904,227.0
13905,533.0
14001,192.0
14004,216.0
14005,22.0
14006,160.0
14008,16.0
14009,151.0
14011,96.0
14012,28.0
14013,19.0
14020,660.0
14024,19.0
14025,52.0
14026,46.0
14027,11.0
14028,15.0
14029,
14030,49.0
14031,305.0
14032,190.0
14033,47.0
14034,21.0
14035,3.0
14036,79.0
14037,17.0
14039,
14040,35.0
14041,
14042,48.0
14043,667.0
14047,122.0
14048,317.0
14051,443.0
14052,487.0
14054,13.0
14055,21.0
14056,11.0
14057,145.0
14058,25.0
14059,284.0
14060,5.0
14061,6.0
14062,35.0
14063,276.0
14065,15.0
14066,18.0
14067,82.0
14068,243.0
14069,18.0
14070,110.0
14072,418.0
14075,902.0
14080,90.0
14081,70.0
14082,9.0
14083,4.0
14085,74.0
14086,592.0
14091,5.0
14092,256.0
14094,1119.0
14098,40.0
14101,16.0
14102,13.0
14103,243.0
14105,66.0
14108,87.0
14109,4.0
14111,60.0
14112,
14113,16.0
14120,830.0
14125,44.0
14126,19.0
14127,938.0
14129,6.0
14130,7.0
14131,75.0
14132,142.0
14134,19.0
14135,10.0
14136,80.0
14138,21.0
14139,36.0
14141,245.0
14143,25.0
14145,30.0
14150,1092.0
14166,
14167,24.0
14168,
14169,6.0
14170,49.0
14171,30.0
14172,59.0
14173,30.0
14174,95.0
14201,232.0
14202,784.0
14203,568.0
14204,205.0
14206,435.0
14207,503.0
14208,102.0
14209,261.0
14210,315.0
14211,239.0
14212,180.0
14213,311.0
14214,344.0
14215,452.0
14216,468.0
14217,515.0
14218,310.0
14219,367.0
14220,284.0
14221,2452.0
14222,328.0
14223,335.0
14224,930.0
14225,1199.0
14226,922.0
14227,431.0
14228,699.0
14260,16.0
14261,10.0
14301,255.0
14302,15.0
14303,192.0
14304,898.0
14305,230.0
14411,222.0
14413,3.0
14414,196.0
14415,
14416,74.0
14418,25.0
14420,376.0
14422,21.0
14423,75.0
14424,795.0
14425,211.0
14427,32.0
14428,122.0
14432,91.0
14433,64.0
14435,27.0
14437,192.0
14441,14.0
14445,269.0
14450,928.0
14453,14.0
14454,223.0
14456,513.0
14462,4.0
14463,8.0
14464,73.0
14466,24.0
14467,192.0
14468,256.0
14469,126.0
14470,102.0
14471,55.0
14472,197.0
14475,5.0
14476,25.0
14477,19.0
14478,15.0
14479,4.0
14480,51.0
14481,27.0
14482,178.0
14485,96.0
14486,6.0
14487,86.0
14489,119.0
14502,223.0
14504,36.0
14505,61.0
14506,64.0
14507,27.0
14510,100.0
14511,9.0
14512,113.0
14513,292.0
14514,87.0
14515,4.0
14516,23.0
14517,43.0
14519,253.0
14521,62.0
14522,184.0
14525,43.0
14526,424.0
14527,351.0
14529,
14530,118.0
14532,84.0
14533,24.0
14534,887.0
14536,13.0
14537,
14539,6.0
14541,26.0
14542,4.0
14543,78.0
14544,25.0
14545,
14546,99.0
14548,60.0
14549,3.0
14550,24.0
14551,101.0
14555,29.0
14556,
14557,
14559,365.0
14560,25.0
14561,37.0
14564,722.0
14568,83.0
14569,165.0
14571,11.0
14572,67.0
14580,1222.0
14585,7.0
14586,162.0
14588,
14589,137.0
14590,89.0
14591,24.0
14592,6.0
14604,443.0
14605,238.0
14606,687.0
14607,756.0
14608,269.0
14609,580.0
14610,315.0
14611,352.0
14612,426.0
14613,184.0
14614,314.0
14615,362.0
14616,314.0
14617,310.0
14618,847.0
14619,99.0
14620,494.0
14621,499.0
14622,237.0
14623,1446.0
14624,1122.0
14625,462.0
14626,774.0
14627,7.0
14642,9.0
14701,857.0
14706,93.0
14707,
14708,
14709,25.0
14710,48.0
14711,23.0
14712,57.0
14714,
14715,42.0
14716,25.0
14717,5.0
14718,31.0
14719,34.0
14720,7.0
14721,
14722,33.0
14723,17.0
14724,39.0
14726,6.0
14727,97.0
14728,15.0
14729,12.0
14731,112.0
14732,3.0
14733,127.0
14735,37.0
14736,23.0
14737,53.0
14738,50.0
14739,25.0
14740,15.0
14741,31.0
14742,
14743,17.0
14744,15.0
14747,20.0
14748,9.0
14750,201.0
14752,8.0
14753,15.0
14754,3.0
14755,36.0
14756,5.0
14757,96.0
14760,572.0
14767,22.0
14769,8.0
14770,43.0
14772,56.0
14774,
14775,26.0
14777,14.0
14778,3.0
14779,139.0
14781,31.0
14782,20.0
14783,8.0
14784,5.0
14785,5.0
14787,136.0
14788,8.0
14801,56.0
14802,37.0
14803,22.0
14804,12.0
14805,8.0
14806,27.0
14807,46.0
14808,4.0
14809,41.0
14810,267.0
14812,29.0
14813,51.0
14814,62.0
14815,8.0
14816,7.0
14817,24.0
14818,26.0
14819,
14820,4.0
14821,35.0
14822,16.0
14823,45.0
14824,14.0
14825,12.0
14826,29.0
14827,3.0
14830,460.0
14836,11.0
14837,93.0
14838,8.0
14839,3.0
14840,88.0
14841,24.0
14842,17.0
14843,303.0
14845,492.0
14846,11.0
14847,49.0
14850,1657.0
14853,23.0
14854,3.0
14855,7.0
14856,
14858,13.0
14859,3.0
14860,18.0
14861,5.0
14864,11.0
14865,59.0
14867,63.0
14869,22.0
14870,185.0
14871,37.0
14872,10.0
14873,20.0
14874,7.0
14877,6.0
14878,16.0
14879,17.0
14880,22.0
14881,9.0
14882,77.0
14883,50.0
14884,6.0
14885,9.0
14886,136.0
14889,22.0
14891,156.0
14892,120.0
14893,3.0
14894,10.0
14895,237.0
14897,7.0
14898,15.0
14901,437.0
14903,249.0
14904,172.0
14905,83.0
15001,572.0
15003,261.0
15004,10.0
15005,134.0
15006,8.0
15007,31.0
15009,480.0
15010,580.0
15012,411.0
15014,39.0
15015,14.0
15017,718.0
15018,13.0
15019,24.0
15020,6.0
15021,148.0
15022,239.0
15024,198.0
15025,282.0
15026,85.0
15027,29.0
15028,
15030,25.0
15031,26.0
15033,64.0
15034,40.0
15035,34.0
15037,207.0
15038,6.0
15042,96.0
15043,25.0
15044,624.0
15045,59.0
15046,30.0
15047,9.0
15049,8.0
15050,27.0
15051,16.0
15052,33.0
15053,
15054,5.0
15055,61.0
15056,96.0
15057,253.0
15059,56.0
15060,11.0
15061,348.0
15062,115.0
15063,228.0
15064,29.0
15065,254.0
15066,229.0
15067,29.0
15068,756.0
15071,284.0
15072,
15074,165.0
15075,
15076,35.0
15077,11.0
15078,9.0
15081,5.0
15082,3.0
15083,14.0
15084,251.0
15085,134.0
15086,227.0
15087,
15088,21.0
15089,103.0
15090,1047.0
15101,478.0
15102,672.0
15104,105.0
15106,578.0
15108,1213.0
15110,70.0
15112,60.0
15116,296.0
15120,413.0
15122,342.0
15123,13.0
15126,144.0
15129,128.0
15131,197.0
15132,384.0
15133,46.0
15135,54.0
15136,593.0
15137,235.0
15139,228.0
15140,30.0
15142,40.0
15143,762.0
15144,85.0
15145,125.0
15146,1154.0
15147,284.0
15148,55.0
15201,556.0
15202,361.0
15203,555.0
15204,80.0
15205,1117.0
15206,845.0
15207,146.0
15208,179.0
15209,235.0
15210,263.0
15211,140.0
15212,780.0
15213,696.0
15214,97.0
15215,367.0
15216,409.0
15217,551.0
15218,280.0
15219,1099.0
15220,687.0
15221,511.0
15222,1500.0
15223,196.0
15224,303.0
15225,104.0
15226,200.0
15227,397.0
15228,434.0
15229,239.0
15232,365.0
15233,256.0
15234,398.0
15235,756.0
15236,772.0
15237,1602.0
15238,745.0
15239,455.0
15241,690.0
15243,203.0
15260,41.0
15275,224.0
15282,
15290,
15301,1522.0
15310,
15311,14.0
15312,50.0
15313,10.0
15314,96.0
15315,3.0
15316,4.0
15317,1522.0
15320,109.0
15321,44.0
15322,17.0
15323,71.0
15324,4.0
15325,
15327,9.0
15329,23.0
15330,178.0
15331,7.0
15332,133.0
15333,36.0
15334,
15337,10.0
15338,17.0
15340,42.0
15341,5.0
15342,104.0
15344,13.0
15345,18.0
15346,5.0
15347,24.0
15348,10.0
15349,46.0
15350,5.0
15351,
15352,10.0
15353,
15357,29.0
15358,10.0
15359,8.0
15360,25.0
15361,
15362,4.0
15363,8.0
15364,5.0
15365,3.0
15366,4.0
15367,160.0
15368,3.0
15370,368.0
15376,18.0
